northamerica/unitedstates/california  # 44 children, from batch_000.txt
europe/italy/liguria/italianriviera  # 13 children, from batch_000.txt
africa/egypt/hurghada  # 13 children, from batch_000.txt
australiaandpacific/australia/tasmania  # 13 children, from batch_002.txt
europe/unitedkingdom/england/leeds_sheffield_a  # 13 children, from batch_002.txt
northamerica/unitedstates/newjersey  # 13 children, from batch_002.txt
asia/thailand/phuket  # 13 children, from batch_004.txt
europe/france/midi  # 12 children, from batch_000.txt
northamerica/canada/alberta  # 12 children, from batch_000.txt
europe/unitedkingdom/england/london  # 12 children, from batch_000.txt
europe/spain/catalonia/barcelona  # 12 children, from batch_001.txt
northamerica/unitedstates/alabama  # 12 children, from batch_001.txt
asia/indonesia/java  # 12 children, from batch_001.txt
northamerica/unitedstates/texas  # 12 children, from batch_001.txt
europe/hungary/budapest  # 12 children, from batch_001.txt
australiaandpacific/australia/newsouthwales  # 12 children, from batch_001.txt
europe/unitedkingdom/wales  # 12 children, from batch_004.txt
europe/italy/campania  # 11 children, from batch_000.txt
europe/germany/badenwrttemberg  # 11 children, from batch_000.txt
northamerica/unitedstates/georgia  # 11 children, from batch_000.txt
europe/unitedkingdom/england/manchester_liverp  # 11 children, from batch_001.txt
southamerica/brazil/riodejaneiro  # 11 children, from batch_001.txt
europe/unitedkingdom/england/bristol_plymouth  # 11 children, from batch_001.txt
northamerica/canada/quebec/montreal  # 11 children, from batch_001.txt
australiaandpacific/australia/victoria  # 11 children, from batch_001.txt
europe/italy/sicily  # 11 children, from batch_001.txt
europe/austria/vienna  # 11 children, from batch_002.txt
asia/japan/tokyo  # 11 children, from batch_002.txt
northamerica/canada/ontario/toronto  # 11 children, from batch_002.txt
asia/india/uttarpradesh  # 11 children, from batch_002.txt
europe/italy/tuscany/florence  # 11 children, from batch_003.txt
northamerica/unitedstates/california/orangecounty  # 11 children, from batch_005.txt
northamerica/unitedstates/california/shastacascade  # 11 children, from batch_017.txt
asia/turkey/istanbul  # 10 children, from batch_000.txt
europe/france/midi/languedoc  # 10 children, from batch_000.txt
europe/france/paris  # 10 children, from batch_000.txt
northamerica/unitedstates/massachusetts  # 10 children, from batch_001.txt
northamerica/unitedstates/california/sanfranciscobayarea/sanfrancisco  # 10 children, from batch_001.txt
northamerica/unitedstates/newmexico  # 10 children, from batch_001.txt
europe/italy/lazio/rome  # 10 children, from batch_001.txt
northamerica/mexico/yucatan  # 10 children, from batch_002.txt
asia/india/maharashtra/mumbai  # 10 children, from batch_002.txt
asia/india/maharashtra/konkan  # 10 children, from batch_003.txt
northamerica/unitedstates/california/centralcoast  # 10 children, from batch_003.txt
asia/india/uttaranchal  # 10 children, from batch_003.txt
northamerica/unitedstates/california/centralvalley  # 10 children, from batch_003.txt
europe/spain/centralspain  # 10 children, from batch_005.txt
northamerica/unitedstates/montana  # 10 children, from batch_005.txt
asia/china/hongkong  # 9 children, from batch_000.txt
europe/italy/lazio  # 9 children, from batch_000.txt
europe/portugal/algarve  # 9 children, from batch_001.txt
asia/india/maharashtra/pune  # 9 children, from batch_001.txt
northamerica/unitedstates/pennsylvania  # 9 children, from batch_001.txt
europe/france/alpes  # 9 children, from batch_001.txt
europe/france/nord  # 9 children, from batch_001.txt
africa/morocco/marrakesh  # 9 children, from batch_002.txt
europe/portugal/lisbon  # 9 children, from batch_002.txt
northamerica/unitedstates/washington  # 9 children, from batch_002.txt
northamerica/unitedstates/nevada/lasvegas  # 9 children, from batch_002.txt
northamerica/canada/alberta/calgary  # 9 children, from batch_002.txt
asia/pakistan/karachi  # 9 children, from batch_002.txt
europe/ireland/cork  # 9 children, from batch_003.txt
northamerica/unitedstates/alaska  # 9 children, from batch_003.txt
europe/spain/northernspain  # 9 children, from batch_003.txt
europe/italy/campania/naples  # 9 children, from batch_004.txt
asia/india/punjab  # 9 children, from batch_005.txt
australiaandpacific/australia/newsouthwales/sydney  # 9 children, from batch_006.txt
asia/india/madhyapradesh  # 9 children, from batch_008.txt
asia/india/goa  # 9 children, from batch_011.txt
europe/italy/lombardia  # 8 children, from batch_000.txt
africa/egypt/luxor  # 8 children, from batch_000.txt
northamerica/unitedstates/nevada  # 8 children, from batch_001.txt
northamerica/unitedstates/hawaii  # 8 children, from batch_001.txt
europe/unitedkingdom/england/south_east  # 8 children, from batch_001.txt
northamerica/unitedstates/northcarolina  # 8 children, from batch_001.txt
northamerica/unitedstates/illinois  # 8 children, from batch_001.txt
northamerica/unitedstates/michigan  # 8 children, from batch_001.txt
northamerica/unitedstates/tennessee  # 8 children, from batch_001.txt
europe/spain/madrid  # 8 children, from batch_002.txt
northamerica/unitedstates/illinois/chicago  # 8 children, from batch_002.txt
asia/india/delhi  # 8 children, from batch_002.txt
northamerica/canada/alberta/banff  # 8 children, from batch_003.txt
europe/ireland/dublin  # 8 children, from batch_003.txt
europe/germany/northrhinewestphalia/dusseldorf  # 8 children, from batch_004.txt
europe/spain/spanishcostas  # 8 children, from batch_004.txt
asia/philippines/negrosisland/bacolod  # 8 children, from batch_004.txt
asia/pakistan/islamabad  # 8 children, from batch_006.txt
northamerica/unitedstates/california/goldcountry  # 8 children, from batch_009.txt
europe/france/aquitaine  # 8 children, from batch_011.txt
northamerica/unitedstates/california/highsierra  # 8 children, from batch_012.txt
asia/pakistan/dera_ghazi_khan/taunsa_sharif  # 8 children, from batch_014.txt
northamerica/unitedstates/ohio  # 7 children, from batch_000.txt
europe/france/midi/cotedazur  # 7 children, from batch_000.txt
europe/italy/sardinia  # 7 children, from batch_000.txt
asia/india/westbengal  # 7 children, from batch_000.txt
asia/philippines/negrosisland  # 7 children, from batch_001.txt
asia/southkorea/ulsan  # 7 children, from batch_001.txt
europe/russia/moscow  # 7 children, from batch_002.txt
europe/germany/bavaria/munich  # 7 children, from batch_002.txt
europe/azerbaijan/naxcivan  # 7 children, from batch_002.txt
northamerica/unitedstates/colorado  # 7 children, from batch_002.txt
asia/malaysia/kualalumpur  # 7 children, from batch_002.txt
africa/kenya/nairobi  # 7 children, from batch_003.txt
europe/france/centre  # 7 children, from batch_003.txt
asia/unitedarabemirates/dubai  # 7 children, from batch_003.txt
europe/spain/canaryislands  # 7 children, from batch_003.txt
southamerica/peru/tarapoto  # 7 children, from batch_003.txt
europe/netherlands/waddenislands  # 7 children, from batch_003.txt
asia/vietnam/hochiminhcity  # 7 children, from batch_003.txt
asia/thailand/chiangmai  # 7 children, from batch_004.txt
asia/china/guangzhou  # 7 children, from batch_004.txt
africa/nigeria/portharcourt  # 7 children, from batch_004.txt
europe/france/centre/loirevalley  # 7 children, from batch_004.txt
europe/italy/lombardia/milan  # 7 children, from batch_006.txt
europe/finland/helsinki  # 7 children, from batch_009.txt
asia/india/gujarat/ahmedabad  # 7 children, from batch_009.txt
europe/italy/abruzzo  # 7 children, from batch_012.txt
africa/egypt/sharmelsheikh  # 6 children, from batch_000.txt
northamerica/canada/quebec  # 6 children, from batch_000.txt
europe/germany/hessen  # 6 children, from batch_001.txt
europe/italy/emiliaromagna  # 6 children, from batch_001.txt
northamerica/unitedstates/california/inlandempire  # 6 children, from batch_001.txt
africa/egypt/alexandria  # 6 children, from batch_001.txt
northamerica/unitedstates/oklahoma  # 6 children, from batch_001.txt
asia/thailand/bangkok  # 6 children, from batch_001.txt
asia/vietnam/hanoi  # 6 children, from batch_002.txt
europe/germany/lowersaxony  # 6 children, from batch_002.txt
northamerica/unitedstates/louisiana  # 6 children, from batch_002.txt
europe/italy/piemonte/turin  # 6 children, from batch_002.txt
northamerica/unitedstates/wisconsin  # 6 children, from batch_002.txt
europe/belgium/brussels  # 6 children, from batch_002.txt
europe/czechrepublic/prague  # 6 children, from batch_002.txt
northamerica/unitedstates/southcarolina  # 6 children, from batch_002.txt
europe/norway/lofotenislands  # 6 children, from batch_002.txt
europe/france/east  # 6 children, from batch_002.txt
southamerica/peru/cuzco  # 6 children, from batch_003.txt
southamerica/argentina/buenosaires  # 6 children, from batch_003.txt
northamerica/unitedstates/utah  # 6 children, from batch_003.txt
northamerica/unitedstates/california/sanfranciscobayarea/sanjose  # 6 children, from batch_003.txt
asia/pakistan/lahore  # 6 children, from batch_003.txt
europe/spain/balearicislands/ibiza  # 6 children, from batch_003.txt
asia/indonesia/sumatra  # 6 children, from batch_003.txt
southamerica/brazil/saopaulo  # 6 children, from batch_004.txt
africa/southafrica/johannesburg  # 6 children, from batch_005.txt
europe/unitedkingdom/england/south_east/oxford  # 6 children, from batch_005.txt
europe/netherlands/haarlem  # 6 children, from batch_005.txt
europe/norway/oslo  # 6 children, from batch_005.txt
europe/georgia/tbilisi  # 6 children, from batch_006.txt
northamerica/canada/alberta/edmonton  # 6 children, from batch_006.txt
southamerica/brazil/manaus  # 6 children, from batch_006.txt
europe/latvia/riga  # 6 children, from batch_008.txt
asia/china/yunnanprovince  # 6 children, from batch_009.txt
europe/spain/aragon  # 6 children, from batch_009.txt
northamerica/unitedstates/maryland  # 6 children, from batch_009.txt
northamerica/unitedstates/kansas  # 6 children, from batch_010.txt
northamerica/unitedstates/mississippi  # 6 children, from batch_012.txt
northamerica/unitedstates/california/deserts  # 6 children, from batch_013.txt
africa/egypt/dahab  # 5 children, from batch_001.txt
europe/italy/piemonte  # 5 children, from batch_001.txt
asia/india/karnataka/bangalore  # 5 children, from batch_002.txt
africa/kenya/thecoast  # 5 children, from batch_002.txt
asia/thailand/huahin  # 5 children, from batch_002.txt
northamerica/unitedstates/florida/orlando  # 5 children, from batch_003.txt
northamerica/unitedstates/virginia  # 5 children, from batch_003.txt
asia/oman/muscat  # 5 children, from batch_003.txt
australiaandpacific/australia/victoria/melbourne  # 5 children, from batch_003.txt
europe/switzerland/zurich  # 5 children, from batch_003.txt
northamerica/canada/manitoba  # 5 children, from batch_004.txt
northamerica/unitedstates/california/inlandempire/sanbernardino  # 5 children, from batch_004.txt
asia/china/beijing  # 5 children, from batch_004.txt
northamerica/unitedstates/florida/miami  # 5 children, from batch_004.txt
europe/sweden/stockholm  # 5 children, from batch_004.txt
northamerica/unitedstates/washingtondc  # 5 children, from batch_004.txt
africa/morocco/merzouga  # 5 children, from batch_005.txt
northamerica/unitedstates/minnesota  # 5 children, from batch_005.txt
asia/cyprus/nicosia  # 5 children, from batch_005.txt
europe/italy/campania/ischia  # 5 children, from batch_006.txt
asia/cyprus/larnaca  # 5 children, from batch_006.txt
northamerica/unitedstates/missouri  # 5 children, from batch_006.txt
southamerica/colombia/cartagena  # 5 children, from batch_008.txt
australiaandpacific/newzealand/otago  # 5 children, from batch_008.txt
europe/unitedkingdom/england/bristol_plymouth/devon  # 5 children, from batch_009.txt
northamerica/unitedstates/arkansas  # 5 children, from batch_010.txt
europe/ukraine/crimea  # 5 children, from batch_010.txt
asia/india/haryana  # 5 children, from batch_011.txt
europe/unitedkingdom/scotland/aberdeen  # 5 children, from batch_011.txt
asia/india/andhrapradesh/visakhapatnam  # 5 children, from batch_012.txt
asia/thailand/maehongson  # 5 children, from batch_012.txt
northamerica/cuba/havana  # 5 children, from batch_012.txt
asia/cyprus/limassol  # 5 children, from batch_012.txt
northamerica/unitedstates/hawaii/honolulu  # 5 children, from batch_013.txt
southamerica/venezuela/caracas  # 5 children, from batch_013.txt
australiaandpacific/newzealand/northland  # 5 children, from batch_013.txt
europe/netherlands/waddenislands/texel_island  # 5 children, from batch_013.txt
asia/japan/ryukyuislands  # 5 children, from batch_014.txt
asia/pakistan/azad_kashmir/bagh  # 5 children, from batch_020.txt
northamerica/unitedstates/newyorkstate/syracuse  # 5 children, from batch_021.txt
northamerica/unitedstates/ohio/cleveland  # 4 children, from batch_001.txt
europe/spain/balearicislands  # 4 children, from batch_002.txt
africa/egypt/al_qahera__cairo  # 4 children, from batch_002.txt
africa/southafrica/capetown  # 4 children, from batch_002.txt
europe/germany/rhinelandpalatinate/trier  # 4 children, from batch_002.txt
asia/pakistan/abbottabad  # 4 children, from batch_003.txt
northamerica/unitedstates/louisiana/neworleans  # 4 children, from batch_003.txt
asia/turkey/cappadocia  # 4 children, from batch_003.txt
northamerica/unitedstates/oregon  # 4 children, from batch_003.txt
europe/armenia/yerevan  # 4 children, from batch_003.txt
africa/kenya/thecoast/mombasa  # 4 children, from batch_003.txt
europe/germany/hessen/frankfurt  # 4 children, from batch_004.txt
europe/unitedkingdom/england/birmingham_and_wes  # 4 children, from batch_004.txt
europe/germany/northrhinewestphalia/cologne  # 4 children, from batch_004.txt
asia/indonesia/bali  # 4 children, from batch_004.txt
europe/unitedkingdom/england/manchester_liverp/lakedistrict  # 4 children, from batch_004.txt
europe/italy/emiliaromagna/bologna  # 4 children, from batch_004.txt
asia/india/andhrapradesh/hyderabad  # 4 children, from batch_004.txt
asia/philippines/taclobancity  # 4 children, from batch_005.txt
europe/spain/andalucia/malaga  # 4 children, from batch_005.txt
asia/indonesia/batam  # 4 children, from batch_005.txt
asia/philippines/boracay  # 4 children, from batch_005.txt
europe/unitedkingdom/scotland/edinburgh  # 4 children, from batch_005.txt
asia/indonesia/java/jakarta  # 4 children, from batch_005.txt
europe/luxembourg/luxembourgcity  # 4 children, from batch_006.txt
asia/pakistan/hunzavalley  # 4 children, from batch_006.txt
europe/germany/hamburg  # 4 children, from batch_006.txt
europe/germany/lowersaxony/hannover  # 4 children, from batch_006.txt
europe/iceland/reykjavik  # 4 children, from batch_006.txt
africa/kenya/theriftvalley/nakuru  # 4 children, from batch_006.txt
africa/tanzania/daressalaam  # 4 children, from batch_008.txt
europe/italy/umbria  # 4 children, from batch_008.txt
southamerica/colombia/cali  # 4 children, from batch_008.txt
africa/ghana/accra  # 4 children, from batch_009.txt
asia/china/hongkong/hongkongisland  # 4 children, from batch_009.txt
europe/greece/crete  # 4 children, from batch_009.txt
asia/china/shanghai  # 4 children, from batch_009.txt
australiaandpacific/australia/southaustralia  # 4 children, from batch_009.txt
northamerica/unitedstates/indiana  # 4 children, from batch_010.txt
asia/india/maharashtra/dombivli  # 4 children, from batch_010.txt
africa/southafrica/durban  # 4 children, from batch_010.txt
northamerica/canada/saskatchewan  # 4 children, from batch_010.txt
europe/spain/andalucia/cordoba  # 4 children, from batch_011.txt
africa/morocco/fez  # 4 children, from batch_011.txt
northamerica/unitedstates/newhampshire  # 4 children, from batch_012.txt
europe/spain/balearicislands/mallorca  # 4 children, from batch_012.txt
northamerica/mexico/mexicocity  # 4 children, from batch_013.txt
europe/portugal/theazores/so_miguel  # 4 children, from batch_013.txt
europe/germany/badenwrttemberg/stuttgart  # 4 children, from batch_013.txt
asia/india/gujarat/vadodara  # 4 children, from batch_013.txt
europe/unitedkingdom/england/leicester_notting  # 4 children, from batch_014.txt
asia/pakistan/azad_kashmir/mirpur  # 4 children, from batch_014.txt
northamerica/unitedstates/vermont  # 4 children, from batch_014.txt
asia/pakistan/quetta  # 4 children, from batch_014.txt
europe/italy/friuliveneziagiulia/trieste  # 4 children, from batch_014.txt
asia/india/rajasthan/jodhpur  # 4 children, from batch_014.txt
northamerica/canada/ontario/ottawa  # 4 children, from batch_015.txt
asia/japan/kyushu  # 4 children, from batch_015.txt
northamerica/canada/britishcolumbia/victoria  # 4 children, from batch_016.txt
europe/netherlands/friesland  # 4 children, from batch_016.txt
europe/greece/thessaloniki  # 4 children, from batch_016.txt
asia/china/sichuanprovince/chengdu  # 4 children, from batch_016.txt
africa/morocco/essaouira  # 4 children, from batch_016.txt
africa/kenya/westernkenya  # 4 children, from batch_017.txt
europe/netherlands/waddenislands/terschelling_islan  # 4 children, from batch_017.txt
europe/unitedkingdom/scotland/macduff  # 4 children, from batch_018.txt
northamerica/unitedstates/idaho  # 4 children, from batch_018.txt
asia/india/bihar  # 4 children, from batch_018.txt
asia/india/kerala/ottapalam  # 4 children, from batch_021.txt
northamerica/unitedstates/arizona/phoenix  # 3 children, from batch_001.txt
asia/india/westbengal/calcutta  # 3 children, from batch_001.txt
asia/philippines/cebu  # 3 children, from batch_002.txt
africa/egypt/abusimbel  # 3 children, from batch_002.txt
europe/germany/berlin/berlinmitte  # 3 children, from batch_002.txt
europe/italy/friuliveneziagiulia  # 3 children, from batch_002.txt
asia/southkorea/seoul  # 3 children, from batch_003.txt
asia/china/hainanisland  # 3 children, from batch_003.txt
europe/france/midi/languedoc/montpellier  # 3 children, from batch_003.txt
europe/germany/berlin/prenzlauerberg  # 3 children, from batch_003.txt
northamerica/unitedstates/massachusetts/boston  # 3 children, from batch_003.txt
africa/uganda/kampala  # 3 children, from batch_003.txt
europe/netherlands/utrecht  # 3 children, from batch_004.txt
africa/kenya/theriftvalley  # 3 children, from batch_004.txt
europe/germany/berlin/kreuzberg  # 3 children, from batch_004.txt
southamerica/colombia/medellin  # 3 children, from batch_004.txt
northamerica/unitedstates/pennsylvania/philadelphia  # 3 children, from batch_004.txt
asia/philippines/mindanaoisland  # 3 children, from batch_004.txt
europe/portugal/oporto  # 3 children, from batch_004.txt
asia/thailand/kohsamui  # 3 children, from batch_004.txt
northamerica/unitedstates/oklahoma/tulsa  # 3 children, from batch_004.txt
europe/italy/liguria/genoa  # 3 children, from batch_005.txt
asia/malaysia/langkawi  # 3 children, from batch_005.txt
asia/qatar/doha  # 3 children, from batch_005.txt
africa/morocco/casablanca  # 3 children, from batch_005.txt
asia/philippines/manila  # 3 children, from batch_005.txt
europe/bulgaria/sofia  # 3 children, from batch_006.txt
africa/morocco/rabat  # 3 children, from batch_006.txt
northamerica/mexico/puertovallarta  # 3 children, from batch_006.txt
europe/albania/saranda  # 3 children, from batch_006.txt
asia/pakistan/peshawar  # 3 children, from batch_006.txt
northamerica/unitedstates/newyorkstate/buffalo  # 3 children, from batch_006.txt
europe/netherlands/groningen  # 3 children, from batch_006.txt
europe/germany/hessen/rudesheim  # 3 children, from batch_006.txt
asia/china/hongkong/kowloon  # 3 children, from batch_006.txt
asia/cyprus/paphos  # 3 children, from batch_008.txt
africa/nigeria/lagos  # 3 children, from batch_008.txt
asia/india/tamilnadu/chennai  # 3 children, from batch_008.txt
northamerica/mexico/acapulco  # 3 children, from batch_008.txt
europe/belgium/antwerp  # 3 children, from batch_008.txt
europe/ireland/aranislands  # 3 children, from batch_008.txt
europe/unitedkingdom/england/eastern_england/cambridge  # 3 children, from batch_008.txt
europe/italy/tuscany/lunigiana/la_spezia  # 3 children, from batch_008.txt
northamerica/unitedstates/california/inlandempire/redlands  # 3 children, from batch_009.txt
europe/bosniaandherzegovina/medjugorje  # 3 children, from batch_009.txt
northamerica/canada/manitoba/winnipeg  # 3 children, from batch_009.txt
northamerica/unitedstates/newmexico/albuquerque  # 3 children, from batch_010.txt
europe/ireland/aranislands/inismeain  # 3 children, from batch_010.txt
asia/philippines/dagupancity  # 3 children, from batch_010.txt
europe/romania/bucharest  # 3 children, from batch_010.txt
southamerica/colombia/sanandresandprovidencia/sanandres  # 3 children, from batch_010.txt
asia/jordan/petra  # 3 children, from batch_010.txt
europe/germany/brandenburg  # 3 children, from batch_010.txt
northamerica/unitedstates/kentucky  # 3 children, from batch_011.txt
asia/india/karnataka/agumbe  # 3 children, from batch_011.txt
europe/france/midi/pyrenees  # 3 children, from batch_011.txt
asia/vietnam/hue  # 3 children, from batch_011.txt
europe/greece/mykonos  # 3 children, from batch_011.txt
europe/portugal/pvoa_de_varzim  # 3 children, from batch_011.txt
europe/spain/la_mancha  # 3 children, from batch_011.txt
europe/spain/spanishcostas/valencia  # 3 children, from batch_011.txt
northamerica/canada/nunavut  # 3 children, from batch_011.txt
northamerica/unitedstates/washington/seattle  # 3 children, from batch_012.txt
australiaandpacific/newzealand/auckland_region/auckland  # 3 children, from batch_012.txt
europe/unitedkingdom/scotland/glasgow  # 3 children, from batch_012.txt
europe/spain/galicia/vigo  # 3 children, from batch_012.txt
europe/netherlands/thehague  # 3 children, from batch_012.txt
europe/france/midi/dordogne  # 3 children, from batch_012.txt
asia/philippines/calbayog  # 3 children, from batch_012.txt
europe/spain/andalucia/nerja  # 3 children, from batch_012.txt
asia/indonesia/java/yogyakarta  # 3 children, from batch_012.txt
europe/spain/balearicislands/ibiza/ibizatown  # 3 children, from batch_012.txt
europe/azerbaijan/baku  # 3 children, from batch_012.txt
northamerica/unitedstates/connecticut  # 3 children, from batch_013.txt
northamerica/canada/quebec/quebeccity  # 3 children, from batch_013.txt
northamerica/unitedstates/florida/tampabayarea  # 3 children, from batch_013.txt
europe/unitedkingdom/northernireland/belfast  # 3 children, from batch_013.txt
europe/france/east/alsace  # 3 children, from batch_013.txt
europe/belgium/ghent  # 3 children, from batch_013.txt
northamerica/unitedstates/alabama/florence  # 3 children, from batch_013.txt
asia/pakistan/sargodha  # 3 children, from batch_013.txt
asia/cyprus/northerncyprus  # 3 children, from batch_013.txt
australiaandpacific/australia/westernaustralia/perth  # 3 children, from batch_013.txt
africa/morocco/taza  # 3 children, from batch_013.txt
europe/norway/hurtigruten  # 3 children, from batch_014.txt
europe/germany/badenwrttemberg/freiburg  # 3 children, from batch_014.txt
asia/indonesia/sulawesi  # 3 children, from batch_014.txt
southamerica/ecuador/guayaquil  # 3 children, from batch_014.txt
southamerica/ecuador/quito  # 3 children, from batch_014.txt
northamerica/unitedstates/utah/saltlakecity  # 3 children, from batch_014.txt
europe/unitedkingdom/england/newcastle_and_nort  # 3 children, from batch_014.txt
africa/morocco/errachidia  # 3 children, from batch_014.txt
europe/unitedkingdom/england/bristol_plymouth/gloucestershire  # 3 children, from batch_014.txt
europe/france/east/lorraine  # 3 children, from batch_014.txt
europe/portugal/viladoconde  # 3 children, from batch_014.txt
europe/belgium/liege  # 3 children, from batch_015.txt
europe/unitedkingdom/england/bristol_plymouth/bristol  # 3 children, from batch_015.txt
europe/spain/andalucia/marbella  # 3 children, from batch_015.txt
africa/senegal/dakar  # 3 children, from batch_015.txt
asia/china/tianjin  # 3 children, from batch_015.txt
australiaandpacific/australia/southaustralia/adelaide  # 3 children, from batch_016.txt
asia/israel/jerusalem  # 3 children, from batch_016.txt
asia/india/rajasthan/jaipur  # 3 children, from batch_016.txt
africa/namibia/windhoek  # 3 children, from batch_016.txt
northamerica/unitedstates/nevada/reno  # 3 children, from batch_016.txt
southamerica/peru/northern_pacific_t/jan  # 3 children, from batch_016.txt
northamerica/unitedstates/arizona/yuma  # 3 children, from batch_016.txt
asia/pakistan/nowshera/kheshgi  # 3 children, from batch_016.txt
australiaandpacific/newzealand/otago/queenstown  # 3 children, from batch_016.txt
europe/unitedkingdom/england/south_east/brighton  # 3 children, from batch_016.txt
australiaandpacific/fiji/vitilevu  # 3 children, from batch_016.txt
asia/china/shenzhen  # 3 children, from batch_017.txt
europe/croatia/korcula  # 3 children, from batch_017.txt
africa/morocco/zagora  # 3 children, from batch_017.txt
europe/france/around_paris  # 3 children, from batch_017.txt
europe/spain/aragon/zaragoza  # 3 children, from batch_018.txt
europe/spain/canaryislands/crancanaria  # 3 children, from batch_018.txt
europe/spain/spanishcostas/murcia  # 3 children, from batch_018.txt
northamerica/canada/saskatchewan/regina  # 3 children, from batch_018.txt
europe/channelislands/jersey  # 3 children, from batch_018.txt
asia/myanmar/mandalay  # 3 children, from batch_018.txt
asia/india/maharashtra/nashik  # 3 children, from batch_019.txt
europe/austria/wels  # 3 children, from batch_019.txt
europe/germany/saxonyanhalt  # 3 children, from batch_019.txt
europe/switzerland/basel  # 3 children, from batch_020.txt
europe/netherlands/ijmuiden  # 3 children, from batch_020.txt
europe/portugal/castelo_branco  # 3 children, from batch_021.txt
asia/china/nanjing  # 3 children, from batch_021.txt
asia/japan/honshu/nagoya  # 3 children, from batch_021.txt
asia/thailand/phitsanulok  # 3 children, from batch_022.txt
europe/portugal/sintra  # 3 children, from batch_022.txt
australiaandpacific/newzealand/south_island  # 3 children, from batch_022.txt
europe/unitedkingdom/wales/swansea  # 3 children, from batch_023.txt
asia/india/kerala/kochi  # 3 children, from batch_023.txt
europe/greece/zakinthos  # 3 children, from batch_023.txt
asia/japan/tokyo/shibuya  # 3 children, from batch_023.txt
europe/ireland/kilkenny  # 3 children, from batch_025.txt
asia/pakistan/gujrat  # 3 children, from batch_026.txt
asia/india/orissa/berhampur  # 3 children, from batch_026.txt
africa/burkinafaso/ouagadougou  # 3 children, from batch_027.txt
northamerica/belize/belmopan  # 3 children, from batch_027.txt
asia/bahrain/manama  # 3 children, from batch_028.txt
africa/algeria/oran  # 3 children, from batch_028.txt
asia/philippines/tagumcity  # 3 children, from batch_028.txt
australiaandpacific/newcaledonia/noumea  # 3 children, from batch_028.txt
europe/greece/kos  # 3 children, from batch_029.txt
africa/togo/kara  # 3 children, from batch_029.txt
northamerica/unitedstates/arkansas/hotsprings  # 3 children, from batch_032.txt
europe/france/normandybrittany/honfleur  # 3 children, from batch_036.txt
asia/pakistan/pakpattan  # 3 children, from batch_054.txt
